,task,split
0,Soil_Germany-ph_CaCl2,test
1,Soil_Finland-ph_CaCl2,val
2,Soil_Bulgaria-ph_CaCl2,val
3,Soil_Ireland-ph_CaCl2,train
4,Soil_Italy-ph_CaCl2,val
5,Soil_Estonia-ph_CaCl2,train
6,Soil_Luxembourg-ph_CaCl2,train
7,Soil_Slovenia-ph_CaCl2,train
8,Soil_United Kingdom-ph_CaCl2,train
9,Soil_Cyprus-ph_CaCl2,test
10,Soil_Greece-ph_CaCl2,val
11,Soil_Latvia-ph_CaCl2,val
12,Soil_Romania-ph_CaCl2,test
13,Soil_Netherlands-ph_CaCl2,test
14,Soil_Austria-ph_CaCl2,val
15,Soil_Poland-ph_CaCl2,val
16,Soil_Czechia-ph_CaCl2,train
17,Soil_Croatia-ph_CaCl2,val
18,Soil_Slovakia-ph_CaCl2,train
19,Soil_Sweden-ph_CaCl2,train
20,Soil_Spain-ph_CaCl2,test
21,Soil_Lithuania-ph_CaCl2,train
22,Soil_Denmark-ph_CaCl2,train
23,Soil_France-ph_CaCl2,train
24,Soil_Portugal-ph_CaCl2,test
25,Soil_Belgium-ph_CaCl2,train
26,Soil_Hungary-ph_CaCl2,train
27,Soil_Finland-pH_h2o,val
28,Soil_Estonia-pH_h2o,train
29,Soil_Germany-pH_h2o,test
30,Soil_France-pH_h2o,train
31,Soil_Bulgaria-pH_h2o,val
32,Soil_Greece-pH_h2o,val
33,Soil_Spain-pH_h2o,test
34,Soil_Hungary-pH_h2o,train
35,Soil_Sweden-pH_h2o,train
36,Soil_Romania-pH_h2o,test
37,Soil_Belgium-pH_h2o,train
38,Soil_Czechia-pH_h2o,train
39,Soil_Luxembourg-pH_h2o,train
40,Soil_Slovenia-pH_h2o,train
41,Soil_Cyprus-pH_h2o,test
42,Soil_Latvia-pH_h2o,val
43,Soil_Denmark-pH_h2o,train
44,Soil_Slovakia-pH_h2o,train
45,Soil_Lithuania-pH_h2o,train
46,Soil_Ireland-pH_h2o,train
47,Soil_United Kingdom-pH_h2o,train
48,Soil_Portugal-pH_h2o,test
49,Soil_Croatia-pH_h2o,val
50,Soil_Austria-pH_h2o,val
51,Soil_Italy-pH_h2o,val
52,Soil_Netherlands-pH_h2o,test
53,Soil_Poland-pH_h2o,val
54,Soil_Greece-CaCO3,val
55,Soil_Italy-CaCO3,val
56,Soil_Poland-CaCO3,val
57,Soil_Denmark-CaCO3,train
58,Soil_Czechia-CaCO3,train
59,Soil_United Kingdom-CaCO3,train
60,Soil_Bulgaria-CaCO3,val
61,Soil_Sweden-CaCO3,train
62,Soil_Romania-CaCO3,test
63,Soil_Lithuania-CaCO3,train
64,Soil_Estonia-CaCO3,train
65,Soil_Croatia-CaCO3,val
66,Soil_Hungary-CaCO3,train
67,Soil_Latvia-CaCO3,val
68,Soil_France-CaCO3,train
69,Soil_Slovenia-CaCO3,train
70,Soil_Germany-CaCO3,test
71,Soil_Austria-CaCO3,val
72,Soil_Cyprus-CaCO3,test
73,Soil_Spain-CaCO3,test
74,Soil_Netherlands-CaCO3,test
75,Soil_Ireland-CaCO3,train
76,Soil_Slovakia-CaCO3,train
77,Soil_Finland-CaCO3,val
78,Soil_Portugal-CaCO3,test
79,Soil_Luxembourg-CaCO3,train
80,Soil_Belgium-CaCO3,train
81,Soil_Bulgaria-OC,val
82,Soil_Romania-OC,test
83,Soil_Finland-OC,val
84,Soil_Greece-OC,val
85,Soil_Hungary-OC,train
86,Soil_Slovakia-OC,train
87,Soil_Belgium-OC,train
88,Soil_Denmark-OC,train
89,Soil_Slovenia-OC,train
90,Soil_Croatia-OC,val
91,Soil_Spain-OC,test
92,Soil_Netherlands-OC,test
93,Soil_Latvia-OC,val
94,Soil_Ireland-OC,train
95,Soil_France-OC,train
96,Soil_Luxembourg-OC,train
97,Soil_Portugal-OC,test
98,Soil_United Kingdom-OC,train
99,Soil_Lithuania-OC,train
100,Soil_Germany-OC,test
101,Soil_Czechia-OC,train
102,Soil_Sweden-OC,train
103,Soil_Italy-OC,val
